sws_id,precipitation,rainfall,snowfall,snowmelt,air_pressure,air_temperature,relative_humidity,wind_speed,potential_evaporation
5037221,1006.21423,509.2978,496.91647,498.9485,97.89551,6.055043,0.77855295,3.0091488,924.7688
5237762,962.2075,531.5627,430.64487,431.537,97.58901,5.913768,0.7713429,2.4685888,932.83124
5013497,956.83777,532.46063,424.37714,424.28885,96.9709,5.5906124,0.75562066,1.5365375,911.42377
5097461,986.07,560.0756,425.9944,428.8787,97.6279,5.969027,0.7770711,2.7888496,923.1282
5282571,972.24304,545.8161,426.42697,427.95227,97.48589,5.9834633,0.776196,2.745141,925.9049
5204442,907.35345,556.25543,351.09802,353.0721,97.724434,5.8749785,0.75981474,1.9083142,971.9338
5103248,963.2948,521.5296,441.76517,441.9195,97.09916,5.7013416,0.7587667,1.8021463,933.125
5382670,970.4906,542.3653,428.1253,429.612,97.63603,5.941802,0.7741283,2.6116703,928.36536
5538441,958.3507,517.39746,440.95322,442.78186,97.07253,5.6855044,0.75335926,1.5659022,928.4672
5248882,932.5873,524.10236,408.48495,408.96918,97.42768,5.6278377,0.7571906,1.5437429,903.3215
5027726,964.1466,535.8559,428.2907,430.0707,97.65872,5.9489884,0.77304584,2.568943,931.31085
5128730,945.1113,520.7137,424.3976,424.3574,97.1497,5.608319,0.7553225,1.505195,906.9555
5152031,1010.7309,510.91278,499.8181,499.3206,97.892456,6.0667944,0.7772073,3.0380287,930.2654
5297976,965.09454,523.6714,441.42316,441.9513,97.353065,5.8253903,0.7640415,2.110847,939.78314
5228789,939.9794,510.95233,429.027,429.39636,97.38031,5.677617,0.7535811,1.494441,914.7554
5282302,983.6881,554.43665,429.25146,431.93256,97.75091,6.0868573,0.779156,3.018112,923.9393
5403233,963.2368,522.43756,440.79922,442.09875,97.10916,5.7103386,0.75695944,1.7424117,934.8794
5512648,969.5725,543.05457,426.51797,428.90393,97.67054,6.0323734,0.7752977,2.73403,930.80725
5293098,965.666,524.60046,441.06552,441.6491,97.18202,5.7799697,0.7596842,1.9105701,941.1937
5303477,958.5279,520.6227,437.9052,438.35315,97.10499,5.6539125,0.75404733,1.5541849,922.9143
5237424,986.8955,561.7501,425.14536,426.1269,97.6833,6.052154,0.7784045,2.927528,924.0175
5472946,964.09155,523.0687,441.0228,441.8766,97.38694,5.863901,0.7657452,2.208321,940.2315
