LOC_ID,INT_ID,LOC_NAME,LOC_NAME_ALT1,SCREEN_NAME,LAT,LONG,Z,FORMATION,SCREEN_DIAMETER_CM,SCREEN_TOP_DEPTH_M,WL_AVG_MASL,WL_AVG_TOTAL_NUM,WL_START_DATE_MDY,WL_END_DATE_MDY
-908267736,-131111682,Inglewood DP 5-04,Peel - Inglewood - DP 5-04,Inglewood DP 5-04,43.81170301560558,-79.93364745474204,271.9800109863281,Newmarket Till/Northern Till,3.799999952316284,1.8699951171875,271.70989990234375,41337,12/21/2004,11/15/2022
1104863797,2130010450,Alton PS 3-2,Peel - Alton - PS 3-2 (Beatty),Alton PS 3-2,43.864431845348946,-80.07007000081586,403.1000061035156,Mackinaw/Oak Ridges (ORMGP),5.079999923706055,8.829986572265625,395.284423828125,42432,10/28/2004,06/20/2023
1368708825,-2076603033,Alton EW 3-2,Peel - Alton - EW 3-2 (AMEC),Alton EW 3-2,43.86147810138378,-80.07000392233121,402.70001220703125,Upper Newmarket (ORMGP),7.5,16.200000762939453,399.206787109375,153,01/28/2004,06/20/2023
730900148,730900222,TRCA - SL22-GW40-1m-1,Seaton Sideline 22,TRCA - SL22-GW40-1m-1,43.88393784143503,-79.11096929445765,145.86880493164062,,,,145.96725463867188,44621,04/01/2016,05/07/2021
-1308713739,1500281573,Halton Fed of Agr - Tilt,"TILT, JOHN",2806634,43.51256561279297,-80.06671905517578,320.77874755859375,Bedrock - Undifferentiated (ORMGP),,2.4387476444244385,317.60333251953125,165,12/03/1986,12/02/2022
40636,40636,MOE OW #301A,MCDONNELL H,MOE Obs Well #301A,43.987586975097656,-79.14874267578125,283.90960693359375,Mackinaw/Oak Ridges (ORMGP),,6.705596923828125,279.47674560546875,1250,04/03/1970,10/01/1978
372755705,55815819,Caledon East EW 3-3D,Peel - Caledon East - EW 3-3D,Caledon East EW 3-3d,43.87079481932352,-79.86364469655139,293.30999755859375,Mackinaw/Oak Ridges (ORMGP),7.619999885559082,37.79520034790039,287.0415344238281,84996,01/25/2006,06/21/2023
1923392759,-1108940436,Caledon East DP 17-03,Peel - Caledon East - DP 17-03,Caledon East DP 17/03,43.877389332807,-79.89339252906049,346.9599914550781,Mackinaw/Oak Ridges (ORMGP),1.899999976158142,2.1500000953674316,347.15252685546875,91,07/23/2003,06/21/2023
1006486146,242078049,Stouffville MW 38,York - Stouffville - MW 38,Stouffville MW 38,43.98137379497062,-79.23126150607179,288.3904113769531,Halton Till,7.619999885559082,4.876800537109375,283.80908203125,39129,12/11/2019,03/31/2022
730900149,730900223,TRCA - Se-w1,Seaton Control Sites,TRCA - Se-w1,43.903157354477486,-79.13412544631946,217.52529907226562,,,,217.12521362304688,40825,06/15/2016,11/19/2021
730900146,730900220,TRCA - SL26-GW40-1m-2,Seaton Sideline 26,TRCA - SL26-GW40-1m-2,43.88666272814429,-79.12708740048937,190.17190551757812,,,,189.9252166748047,42215,05/25/2016,11/19/2021
730900151,730900225,TRCA - Se-w3,Seaton Control Sites,TRCA - Se-w3,43.878546897438106,-79.12070405235896,176.25840759277344,,,,175.35244750976562,37810,10/14/2016,11/19/2021
730900160,730900239,Hilton Falls DP HF1,HRCA - Hilton Falls - DP HF1,Hilton Falls - DP HF1,43.51264368940194,-79.97593135311864,299.99798583984375,,,,300.3471374511719,57923,09/12/2012,06/16/2021
-1920750670,1969361405,PW1/75(COG),CITY OF GUELPH,PW1/75(COG),43.54301071166992,-80.18583679199219,327.385986328125,,,6.09600830078125,328.3162841796875,223,06/15/1975,10/22/2001
40284,40284,Wanderers MW 2-71,WANDERERS TORONTO MW 2-71 (at REG 2-94),Wanderers MW 2-71 d,43.955970764160156,-79.15343475341797,241.77548217773438,Thorncliffe (ORMGP),,60.959991455078125,220.19264221191406,345,09/09/1971,07/27/2023
