"INT_ID","LOC_ID","LOC_NAME","LOC_NAME_ALT1","SCREEN_NAME","LAT","LONG","Z","FORMATION","SCREEN_DIAMETER_CM","SCREEN_TOP_DEPTH_M","WL_AVG_MASL","WL_AVG_TOTAL_NUM","WL_START_DATE_MDY","WL_END_DATE_MDY","nValues","MannKendall10yrTau","MannKendall10yrPstat","MannKendall10yrText","GAMrange"
1727829900,132261,"Vandorf MW 1 D&I (GSC BH VSR)","York - Vandorf - MW 1 D&I (GSC-BH-VSR Vandorf)","Vandorf MW 1i",44.0008583068848,-79.3762054443359,302.860992431641,"Channel - Silt (ORMGP)",2.53999996185303,61,286.786651611328,351577,"08/08/2002","03/29/2022",7002,0.0623599701269604,0.349628757824308,"MK no trend",0.412409587944887
1728601127,372753142,"King City MW 1","York - King City - MW 1","King City MW 1s",43.9335708618164,-79.5405044555664,279.730010986328,"Halton Till",6.34999990463257,6.10000610351562,278.323516845703,390629,"05/20/2004","03/09/2022",6302,-0.117837426232629,0.0782346655918231,"MK no trend",0.491568270908534
1731230839,120000021,"Aurora MW 18","York - Aurora - MW #18 (Orchard Heights)","Aurora MW 18s (Orchard Heights)",44.0081214904785,-79.4719619750977,255.339385986328,"Channel - Sand (ORMGP)",7.59999990463257,50.439998626709,249.019668579102,163432,"03/05/2013","03/29/2022",3308,0.343166542195668,2.47410635756395e-07,"MK increasing trend",2.11518763587974
1737613742,-2136893055,"Kleinburg PW 1 (TW 4-59)","York - Kleinburg - PW 1 (TW 4-59)","Kleinburg PW 1",43.8506736755371,-79.6223602294922,197.380004882812,"Channel - Silt (ORMGP)",5.07999992370605,19.8119964599609,187.43782043457,332483,"08/01/1984","12/04/2013",3698,NA,NA,NA,0.231875463373014
1748188636,-1794346793,"PGMN - HRCA - W0000030-1","HRCA - Suez (ZENON) (PGMN)","PGMN - HRCA - W0000030-1",43.4350899602928,-79.790155372551,154.160003662109,"Bedrock - Undifferentiated (ORMGP)",5.07999992370605,42.5195999145508,124.919212341309,137320,"11/19/1998","05/27/2020",5659,0.267690454682325,0.000376606501009569,"MK increasing trend",0.0876935027617625
1751829495,120000018,"OGS-SS-13-08","Ont Geol Surv-SS-13-08 Tottenham","OGS-SS-13-08",44.014892578125,-79.780387878418,260.622039794922,"Bedrock - Undifferentiated (ORMGP)",6.34999990463257,142.100006103516,243.660339355469,49767,"03/18/2015","11/08/2022",2075,-0.550310559006211,1.66764380082896e-11,"MK decreasing trend",0.906287006408916
1764856755,-1278014009,"PGMN - GRCA - W0000207","GRCA - Rice Lake CA (PGMN)","PGMN - GRCA - W0000207",44.0844573974609,-78.2992782592773,198.169998168945,"Lower Newmarket (ORMGP)",15.875,17.6784057617188,190.706527709961,86262,"12/13/2002","05/29/2019",3593,NA,NA,NA,0.268886535124279
1784497418,-275917411,"CAMC/YPDT - High Park - OW1","CAMC/YPDT - High Park - OW1","CAMC/YPDT- High Park - OW1",43.6516151428223,-79.4612274169922,87.2028350830078,"Mackinaw/Oak Ridges (ORMGP)",5.07999992370605,5.36000061035156,87.0251846313477,219905,"09/04/2003","06/07/2023",4728,-0.0310298876832286,0.644348722966884,"MK no trend",0.052412699408451
1790248919,-1896507469,"PGMN - KRCA - W0000389","KRCA - Pontypool 389 (PGMN)","PGMN - KRCA - W0000389 - D",44.1087837219238,-78.6371078491211,351.853454589844,"Channel - Sand (ORMGP)",2.53999996185303,46.5,323.688446044922,76512,"01/01/2000","10/09/2013",3192,NA,NA,NA,0.317483968795828
1832051249,-1968970623,"Ansnorveldt MW 1S/2002 (YORK REGION)","York - Ansnorveldt - MW 1s-2002 (ANSW) (YORK REGION)","Ansnorveldt MW 1s",44.0823173522949,-79.5414962768555,218.623001098633,"Channel - Silt (ORMGP)",5.07999992370605,15.0899963378906,217.646911621094,326612,"07/29/2002","03/25/2022",6109,-0.297236743838686,7.86958481535649e-06,"MK decreasing trend",0.286176940060095
1833069470,-545328847,"Schomberg MW 06 (04-1)","York - Schomberg - MW 6 - SCH 04-1 (MMM)","Schomberg MW 6 (04-1)",44.0071907043457,-79.6866683959961,224.626998901367,"Late Stage Glaciolacustrine-Glaciofluvial (ORMGP)",3.1800000667572,2.05000305175781,224.16682434082,101855,"05/07/2004","08/12/2011",690,NA,NA,NA,0.405876695891273
1842091225,120000029,"Nobleton MW 8","York - Nobleton - MW 8 (Hwy 27 and King)","Nobleton MW 8s",43.9063262939453,-79.6534194946289,264.2958984375,"Mackinaw/Oak Ridges (ORMGP)",7.61999988555908,27.4299926757812,251.260269165039,162091,"02/18/2013","06/03/2022",3361,-0.44136836536766,1.63595803570615e-11,"MK decreasing trend",0.93275887696252
1843806089,-849553830,"Boyd Irrigation Well","TRCA - PW 1-02 - Boyd Cons Area (T.R.C.A.)","Boyd Irrigation Well",43.8268699645996,-79.5973052978516,173.131393432617,"Sunnybrook (ORMGP)",15.2399997711182,17.9832000732422,169.080062866211,114364,"05/16/2002","05/05/2023",4768,-0.27596098680436,0.000205281439623839,"MK decreasing trend",0.493362230909331
1844676560,134859,"Aurora PW 5 (TW 21/87)","York - Aurora - PW 5 (TW 21-87)","Aurora PW 5",44.018180847168,-79.4701080322266,254.960006713867,"Thorncliffe (ORMGP)",25,89.5999984741211,227.605484008789,233193,"01/21/1987","06/12/2022",4556,0.273408239700375,0.000137365036724457,"MK increasing trend",5.11809450019102
1854892438,67610,"PGMN - NVCA - W0000231-1","NVCA - Earl Rowe Trillium (PGMN)","PGMN - NVCA - W0000231-1",44.1658172607422,-79.9079666137695,224.333206176758,"Sunnybrook (ORMGP)",12.6999998092651,39.8699951171875,224.360168457031,102059,"02/02/1968","11/08/2022",3863,0.072463768115942,0.305119535019227,"MK no trend",0.0512132433114327
1874342599,381068132,"Aurora MW 15 (GSC-BH-AUR) (OGS 11-AG-193)","York - Aurora - MW #15 (Peter Schoch) (GSC-BH-AUR)","Aurora MW 15-3 (Int - Deep)",43.9890556335449,-79.4269943237305,266.899993896484,"Lower Newmarket (ORMGP)",6.34999990463257,28,267.686431884766,178892,"08/04/2011","12/17/2021",3206,0.00828655439721999,0.912423544406112,"MK no trend",0.662283652072457
1889966563,1245900405,"Caledon Village PSC 4-1","Peel - Caledon Village - PSC4-1","Caledon Village PSC4-1",43.8580196310235,-80.0458489125192,394.739990234375,"Halton Till",6.40000009536743,7.59999990463257,390.705780029297,85794,"01/28/2004","06/20/2023",3221,-0.187912087912088,0.00453812196124681,"MK decreasing trend",0.348067190087231
1918366357,1591528804,"Kleinburg MW 1 (TW 1-90)","York - Kleinburg - MW 1 (TW 1-90)","Kleinburg MW 1",43.8408584594727,-79.6524200439453,218.309005737305,"Late Stage Glaciolacustrine-Glaciofluvial (ORMGP)",5.07999992370605,3.60000610351562,215.646408081055,259000,"05/29/2007","03/07/2022",5344,-0.0216579536967886,0.746691588300156,"MK no trend",0.416901187108503
1920135720,-2147483461,"Caledon East DP 8R-06","Peel - Caledon East - DP 8R-06","Caledon East DP 8R-06s",43.8748737458163,-79.8628116552256,291.420013427734,"Mackinaw/Oak Ridges (ORMGP)",3.75,0.300000011920929,291.342407226562,63439,"09/20/2006","06/21/2023",1137,-0.529268292682927,1.15369300424106e-06,"MK decreasing trend",0.0580578266076877
1944650081,1739447920,"MOE OW #397A","P U C","MOE Obs Well #397A",43.5423469543457,-80.1811370849609,326,"",NA,6.70559692382812,326.115447998047,481,"11/15/1962","02/10/1979",480,NA,NA,NA,2.14624147367073
1950720292,897855347,"Lemonville MW 1D (LKBD)","York - Lemonville MW 1D","Lemonville MW 1D",43.9866905212402,-79.3362503051758,314.859985351562,"Scarborough (ORMGP)",15.2399997711182,128.016006469727,264.706909179688,264640,"09/21/2006","03/31/2022",5585,0.367438386855863,3.29885820882225e-08,"MK increasing trend",1.37888505049297
1953066618,1423845787,"Blackstock TW 02/1","Durham - Blackstock - TW 02-1","Blackstock TW 02/1",44.1108856201172,-78.8245391845703,289.89599609375,"Thorncliffe (ORMGP)",15.2399997711182,52.7304077148438,283.033111572266,65899,"09/18/2002","12/31/2021",1690,-0.205194805194805,0.0259958672372056,"MK decreasing trend",1.29549262600854
