CNT,INT_ID,LAT,LOC_ID,LOC_NAME,LOC_NAME_ALT1,LONG,QUAL,SW_DRAINAGE_AREA_KM2,YRb,YRe,LOC_MASTER_LOC_ID,meanQ,k,BFI
8132,1000007879,43.82384490966797,1000004459,HY040,Krosno Creek,-79.07443237304688,0.992918192918192,2.6700000762939453,2000,2023,,0.0537061084001733,0.961237424369816,0.417756672579879
7104,1000007919,43.71112060546875,1000004687,HY045,Mimico Ck - at Wildwood Park,-79.63027954101562,0.9930109029913331,38.442501068115234,2003,2023,,0.6648290740783791,0.9397397868391747,0.24121233577717252
6680,1000008031,43.77767562866211,1000005628,HY053,Plunkett Ck,-79.60200500488281,0.9809104258443461,44.275001525878906,2004,2023,,1.051656707697952,0.9637385909291281,0.17243203211460273
5403,1000008098,43.836341857910156,1000006479,HY054,Purpleville Ck,-79.59886932373047,1.0,35.48749923706055,2008,2023,,0.27454326631112397,0.9425083902914901,0.5065067015104054
7797,1000010874,43.907569885253906,1000008715,HY010,Brougham Creek,-79.0738525390625,0.826303518440016,15.079999923706055,1997,2023,,0.181401219910646,0.9182707020182578,0.5960428087394208
7223,1000015924,43.67717361450195,1000009635,HY024,Etobicoke CK - at Dixie and Derry,-79.67577362060547,1.0,81.45999908447266,2003,2023,,1.013727071565277,0.9506425809799322,0.3168860809102526
4581,1000016578,43.7981071472168,1000009997,HY034,Highland Cr - Malvern,-79.23117065429688,1.0,11.817500114440918,2003,2015,,0.2921579697571539,0.9620914273334303,0.3737425381207344
6761,1000018030,43.76844024658203,1000010992,HY035,Humber at Goreway,-79.70453643798828,0.9880169516294021,53.32749938964844,2004,2023,,0.6248240873391429,0.92105325959985,0.41134595371264987
7814,1000018431,43.950965881347656,1000013025,HY047,Mitchell Ck at Claremont,-79.08462524414062,1.0,23.100000381469727,2001,2023,,0.3218439869447358,0.9279185671242104,0.5059194293777411
5924,1000018645,43.8199577331543,1000013234,HY048,Morningside at Finch,-79.21199798583984,1.0,15.8100004196167,2007,2023,,0.19849639356301968,0.8749023139480486,0.46492729773476543
7950,1000019703,43.80382537841797,1000015465,HY051,Petticoat Ck at Whites,-79.11032104492188,0.9953674721422311,25.739999771118164,2001,2023,,0.4154725517844873,0.9101481688897362,0.37792109094254944
8064,1000020064,43.82579040527344,1000015714,HY052,Pine Ck,-79.08833312988281,0.9927366736427421,7.957499980926514,2001,2023,,0.23468898176191805,0.9772279372335,0.651622956411569
6773,1000020579,43.691829681396484,1000016193,HY059,Spring Ck South,-79.67413330078125,0.944893973214285,36.852500915527344,2003,2023,,0.5672827213058976,0.922236289632159,0.4135774928124482
6832,1000021083,43.70161056518555,1000017730,HY062,Taylor Ck South,-79.3282470703125,0.9991225504533481,35.19499969482422,2004,2023,,0.40805006847395014,0.9461073399536365,0.33339787303765095
9096,1000022970,43.86949157714844,1000021819,HY065,Urfe Creek,-79.07430267333984,0.96396778295888,13.717499732971191,1997,2023,,0.2521365988107973,0.942800349396251,0.5495196094012631
6344,1000023094,43.901222229003906,1000022222,HY066,West Duffins at Hwy7,-79.18099212646484,1.0,109.15249633789062,2005,2023,,1.3101588459012448,0.9385691604853179,0.6199671658843156
4297,1000026873,43.7221794128418,1000025114,HY081,Spring Ck North,-79.72222137451172,0.997909893172317,15.7524995803833,2011,2023,,0.190855402260581,0.9088686906037173,0.44699249615638714
9286,1000029428,43.93574905395508,1000026403,HY082,Reesor Ck,-79.20088195800781,0.9850429617057381,34.4375,1997,2023,1000026403.0,0.6408978489300089,0.9400964716299679,0.5443302706604801
6187,1119117377,43.75321960449219,2147456350,02HC058,WEST HIGHLAND CREEK NEAR SCARBOROUGH VILLAGE,-79.2336654663086,0.9908712363869311,39.2599983215332,2006,2023,2147456350.0,0.636976729315099,0.8872553261190429,0.3004252912546213
6310,1428471071,43.98842239379883,2147456353,02HD022,COBOURG CK NEAR PRECIOUS CORNERS,-78.21065521240234,0.9773853779429981,33.599998474121094,2005,2023,2147456353.0,0.48700301054964834,0.8887799539865956,0.6039485478377329
6209,1654423840,44.028804779052734,2147456351,02HD020,BALTIMORE CK - AT BALTIMORE,-78.14706420898438,0.99439461883408,40.599998474121094,2006,2023,2147456351.0,0.6478758452235209,0.9642549320778464,0.75653212385415
